t,throttle,altitude_m,airspeed_mps,t_ambient_c,rpm,cht_1,cht_2,cht_3,cht_4,egt_1,egt_2,egt_3,egt_4,oil_temp_c,oil_pressure_bar,ratio_lube,fuel_flow_kg_s,alternator_v,vib_rms_g
161.0,0.65,3000.0,40.0,-4.5,3566.4,85.6,85.6,85.6,85.6,858.5,858.5,858.5,858.5,72.3,2.41,7463031.231,0.00136,14.2,0.099
162.0,0.65,3000.0,40.0,-4.5,3514.7,83.8,83.8,83.8,83.8,858.5,858.5,858.5,858.5,72.1,2.39,7354777.686,0.00132,14.2,0.099
163.0,0.65,3000.0,40.0,-4.5,3468.5,82.1,82.1,82.1,82.1,858.5,858.5,858.5,858.5,71.9,2.37,7258112.34,0.00129,14.2,0.099
164.0,0.65,3000.0,40.0,-4.5,3427.2,80.5,80.5,80.5,80.5,858.5,858.5,858.5,858.5,71.6,2.36,7171591.873,0.00126,14.2,0.099
165.0,0.65,3000.0,40.0,-4.5,3390.1,78.9,78.9,78.9,78.9,858.5,858.5,858.5,858.5,71.4,2.35,7093988.757,0.00124,14.2,0.099
166.0,0.65,3000.0,40.0,-4.5,3356.8,77.3,77.3,77.3,77.3,858.5,858.5,858.5,858.5,71.2,2.34,7024252.661,0.00122,14.2,0.099
167.0,0.65,3000.0,40.0,-4.5,3326.8,75.8,75.8,75.8,75.8,858.5,858.5,858.5,858.5,70.9,2.34,6961479.899,0.0012,14.2,0.099
168.0,0.65,3000.0,40.0,-4.5,3299.7,74.3,74.3,74.3,74.3,858.5,858.5,858.5,858.5,70.7,2.34,6904889.009,0.00118,14.2,0.099
169.0,0.65,3000.0,40.0,-4.5,3275.3,72.9,72.9,72.9,72.9,858.5,858.5,858.5,858.5,70.4,2.34,6853801.082,0.00116,14.2,0.099
170.0,0.65,3000.0,40.0,-4.5,3253.2,71.5,71.5,71.5,71.5,858.5,858.5,858.5,858.5,70.2,2.34,6807623.787,0.00115,14.2,0.099
171.0,0.65,3000.0,40.0,-4.5,3233.3,70.1,70.1,70.1,70.1,858.5,858.5,858.5,858.5,69.9,2.35,6765838.313,0.00114,14.2,0.099
172.0,0.65,3000.0,40.0,-4.5,3215.2,68.8,68.8,68.8,68.8,858.5,858.5,858.5,858.5,69.6,2.35,6727988.605,0.00113,14.2,0.099
173.0,0.65,3000.0,40.0,-4.5,3198.8,67.6,67.6,67.6,67.6,858.5,858.5,858.5,858.5,69.4,2.36,6693672.454,0.00111,14.2,0.099
174.0,0.65,3000.0,40.0,-4.5,3183.9,66.4,66.4,66.4,66.4,858.5,858.5,858.5,858.5,69.1,2.37,6662534.059,0.00111,14.2,0.099
175.0,0.65,3000.0,40.0,-4.5,3170.4,65.2,65.2,65.2,65.2,858.5,858.5,858.5,858.5,68.8,2.38,6634257.8,0.0011,14.2,0.099
176.0,0.65,3000.0,40.0,-4.5,3158.1,64.0,64.0,64.0,64.0,858.5,858.5,858.5,858.5,68.5,2.39,6608562.977,0.00109,14.2,0.099
177.0,0.65,3000.0,40.0,-4.5,3146.9,62.9,62.9,62.9,62.9,858.5,858.5,858.5,858.5,68.3,2.4,6585199.362,0.00108,14.2,0.099
178.0,0.65,3000.0,40.0,-4.5,3136.8,61.8,61.8,61.8,61.8,858.5,858.5,858.5,858.5,68.0,2.41,6563943.409,0.00108,14.2,0.099
179.0,0.65,3000.0,40.0,-4.5,3127.5,60.8,60.8,60.8,60.8,858.5,858.5,858.5,858.5,67.7,2.42,6544595.007,0.00107,14.2,0.099
180.0,0.65,3000.0,40.0,-4.5,3119.1,59.8,59.8,59.8,59.8,858.5,858.5,858.5,858.5,67.5,2.44,6526974.702,0.00106,14.2,0.099
181.0,0.65,3000.0,40.0,-4.5,3111.4,58.8,58.8,58.8,58.8,858.5,858.5,858.5,858.5,67.2,2.45,6510921.288,0.00106,14.2,0.099
182.0,0.65,3000.0,40.0,-4.5,3104.5,57.9,57.9,57.9,57.9,858.5,858.5,858.5,858.5,66.9,2.47,6496289.733,0.00106,14.2,0.099
183.0,0.65,3000.0,40.0,-4.5,3098.1,56.9,56.9,56.9,56.9,858.5,858.5,858.5,858.5,66.6,2.48,6482949.367,0.00105,14.2,0.099
184.0,0.65,3000.0,40.0,-4.5,3092.3,56.1,56.1,56.1,56.1,858.5,858.5,858.5,858.5,66.4,2.5,6470782.311,0.00105,14.2,0.099
185.0,0.65,3000.0,40.0,-4.5,3087.0,55.2,55.2,55.2,55.2,858.5,858.5,858.5,858.5,66.1,2.52,6459682.095,0.00104,14.2,0.099
186.0,0.65,3000.0,40.0,-4.5,3082.1,54.4,54.4,54.4,54.4,858.5,858.5,858.5,858.5,65.8,2.53,6449552.448,0.00104,14.2,0.099
187.0,0.65,3000.0,40.0,-4.5,3077.7,53.6,53.6,53.6,53.6,858.5,858.5,858.5,858.5,65.6,2.55,6440306.234,0.00104,14.2,0.099
188.0,0.65,3000.0,40.0,-4.5,3073.7,52.8,52.8,52.8,52.8,858.5,858.5,858.5,858.5,65.3,2.57,6431864.516,0.00104,14.2,0.099
189.0,0.65,3000.0,40.0,-4.5,3070.0,52.0,52.0,52.0,52.0,858.5,858.5,858.5,858.5,65.1,2.59,6424155.715,0.00103,14.2,0.099
190.0,0.65,3000.0,40.0,-4.5,3066.6,51.3,51.3,51.3,51.3,858.5,858.5,858.5,858.5,64.8,2.61,6417114.885,0.00103,14.2,0.099
191.0,0.65,3000.0,40.0,-4.5,3063.5,50.6,50.6,50.6,50.6,858.5,858.5,858.5,858.5,64.5,2.63,6410683.045,0.00103,14.2,0.099
192.0,0.65,3000.0,40.0,-4.5,3060.7,49.9,49.9,49.9,49.9,858.5,858.5,858.5,858.5,64.3,2.65,6404806.607,0.00103,14.2,0.099
193.0,0.65,3000.0,40.0,-4.5,3058.2,49.3,49.3,49.3,49.3,858.5,858.5,858.5,858.5,64.0,2.67,6399436.843,0.00103,14.2,0.099
194.0,0.65,3000.0,40.0,-4.5,3055.8,48.6,48.6,48.6,48.6,858.5,858.5,858.5,858.5,63.8,2.69,6394529.43,0.00103,14.2,0.099
195.0,0.65,3000.0,40.0,-4.5,3053.7,48.0,48.0,48.0,48.0,858.5,858.5,858.5,858.5,63.5,2.71,6390044.024,0.00102,14.2,0.099
196.0,0.65,3000.0,40.0,-4.5,3051.7,47.4,47.4,47.4,47.4,858.5,858.5,858.5,858.5,63.3,2.73,6385943.888,0.00102,14.2,0.099
197.0,0.65,3000.0,40.0,-4.5,3049.9,46.9,46.9,46.9,46.9,858.5,858.5,858.5,858.5,63.0,2.75,6382195.558,0.00102,14.2,0.099
198.0,0.65,3000.0,40.0,-4.5,3048.3,46.3,46.3,46.3,46.3,858.5,858.5,858.5,858.5,62.8,2.77,6378768.535,0.00102,14.2,0.099
199.0,0.65,3000.0,40.0,-4.5,3046.8,45.8,45.8,45.8,45.8,858.5,858.5,858.5,858.5,62.5,2.79,6375635.017,0.00102,14.2,0.099
200.0,0.65,3000.0,40.0,-4.5,3045.4,45.2,45.2,45.2,45.2,858.5,858.5,858.5,858.5,62.3,2.81,6372769.649,0.00102,14.2,0.099
201.0,0.65,3000.0,40.0,-4.5,3044.2,44.7,44.7,44.7,44.7,858.5,858.5,858.5,858.5,62.1,2.83,6370149.303,0.00102,14.2,0.099
202.0,0.65,3000.0,40.0,-4.5,3043.0,44.3,44.3,44.3,44.3,858.5,858.5,858.5,858.5,61.8,2.85,6367752.873,0.00102,14.2,0.099
203.0,0.65,3000.0,40.0,-4.5,3042.0,43.8,43.8,43.8,43.8,858.5,858.5,858.5,858.5,61.6,2.87,6365561.098,0.00102,14.2,0.099
204.0,0.65,3000.0,40.0,-4.5,3041.0,43.3,43.3,43.3,43.3,858.5,858.5,858.5,858.5,61.4,2.89,6363556.394,0.00102,14.2,0.099
205.0,0.65,3000.0,40.0,-4.5,3040.1,42.9,42.9,42.9,42.9,858.5,858.5,858.5,858.5,61.1,2.91,6361722.705,0.00102,14.2,0.099
206.0,0.65,3000.0,40.0,-4.5,3039.3,42.5,42.5,42.5,42.5,858.5,858.5,858.5,858.5,60.9,2.94,6360045.367,0.00102,14.2,0.099
207.0,0.65,3000.0,40.0,-4.5,3038.6,42.1,42.1,42.1,42.1,858.5,858.5,858.5,858.5,60.7,2.96,6358510.987,0.00102,14.2,0.099
208.0,0.65,3000.0,40.0,-4.5,3037.9,41.7,41.7,41.7,41.7,858.5,858.5,858.5,858.5,60.5,2.98,6357107.329,0.00101,14.2,0.099
209.0,0.65,3000.0,40.0,-4.5,3037.3,41.3,41.3,41.3,41.3,858.5,858.5,858.5,858.5,60.3,3.0,6355823.211,0.00101,14.2,0.099
210.0,0.65,3000.0,40.0,-4.5,3036.8,40.9,40.9,40.9,40.9,858.5,858.5,858.5,858.5,60.0,3.02,6354648.417,0.00101,14.2,0.099
211.0,0.65,3000.0,40.0,-4.5,3036.3,40.6,40.6,40.6,40.6,858.5,858.5,858.5,858.5,59.8,3.04,6353573.609,0.00101,14.2,0.099
212.0,0.65,3000.0,40.0,-4.5,3035.8,40.2,40.2,40.2,40.2,858.5,858.5,858.5,858.5,59.6,3.06,6352590.251,0.00101,14.2,0.099
213.0,0.65,3000.0,40.0,-4.5,3035.4,39.9,39.9,39.9,39.9,858.5,858.5,858.5,858.5,59.4,3.09,6351690.541,0.00101,14.2,0.099
214.0,0.65,3000.0,40.0,-4.5,3035.0,39.6,39.6,39.6,39.6,858.5,858.5,858.5,858.5,59.2,3.11,6350867.346,0.00101,14.2,0.099
215.0,0.65,3000.0,40.0,-4.5,3034.6,39.3,39.3,39.3,39.3,858.5,858.5,858.5,858.5,59.0,3.13,6350114.143,0.00101,14.2,0.099
216.0,0.65,3000.0,40.0,-4.5,3034.3,39.0,39.0,39.0,39.0,858.5,858.5,858.5,858.5,58.8,3.15,6349424.969,0.00101,14.2,0.099
217.0,0.65,3000.0,40.0,-4.5,3034.0,38.7,38.7,38.7,38.7,858.5,858.5,858.5,858.5,58.6,3.17,6348794.37,0.00101,14.2,0.099
218.0,0.65,3000.0,40.0,-4.5,3033.7,38.4,38.4,38.4,38.4,858.5,858.5,858.5,858.5,58.4,3.2,6348217.359,0.00101,14.2,0.099
219.0,0.65,3000.0,40.0,-4.5,3033.4,38.2,38.2,38.2,38.2,858.5,858.5,858.5,858.5,58.2,3.22,6347689.374,0.00101,14.2,0.099
220.0,0.65,3000.0,40.0,-4.5,3033.2,37.9,37.9,37.9,37.9,858.5,858.5,858.5,858.5,58.0,3.24,6347206.245,0.00101,14.2,0.099
221.0,0.65,3000.0,40.0,-4.5,3033.0,37.6,37.6,37.6,37.6,858.5,858.5,858.5,858.5,57.8,3.26,6346764.154,0.00101,14.2,0.099
222.0,0.65,3000.0,40.0,-4.5,3032.8,37.4,37.4,37.4,37.4,858.5,858.5,858.5,858.5,57.6,3.28,6346359.612,0.00101,14.2,0.099
223.0,0.65,3000.0,40.0,-4.5,3032.6,37.2,37.2,37.2,37.2,858.5,858.5,858.5,858.5,57.4,3.31,6345989.426,0.00101,14.2,0.099
224.0,0.65,3000.0,40.0,-4.5,3032.5,36.9,36.9,36.9,36.9,858.5,858.5,858.5,858.5,57.2,3.33,6345650.674,0.00101,14.2,0.099
225.0,0.65,3000.0,40.0,-4.5,3032.3,36.7,36.7,36.7,36.7,858.5,858.5,858.5,858.5,57.0,3.35,6345340.687,0.00101,14.2,0.099
226.0,0.65,3000.0,40.0,-4.5,3032.2,36.5,36.5,36.5,36.5,858.5,858.5,858.5,858.5,56.9,3.37,6345057.017,0.00101,14.2,0.099
227.0,0.65,3000.0,40.0,-4.5,3032.1,36.3,36.3,36.3,36.3,858.5,858.5,858.5,858.5,56.7,3.39,6344797.431,0.00101,14.2,0.099
228.0,0.65,3000.0,40.0,-4.5,3031.9,36.1,36.1,36.1,36.1,858.5,858.5,858.5,858.5,56.5,3.41,6344559.881,0.00101,14.2,0.099
229.0,0.65,3000.0,40.0,-4.5,3031.8,35.9,35.9,35.9,35.9,858.5,858.5,858.5,858.5,56.3,3.44,6344342.495,0.00101,14.2,0.099
230.0,0.65,3000.0,40.0,-4.5,3031.7,35.7,35.7,35.7,35.7,858.5,858.5,858.5,858.5,56.1,3.46,6344143.561,0.00101,14.2,0.099
231.0,0.65,3000.0,40.0,-4.5,3031.7,35.6,35.6,35.6,35.6,858.5,858.5,858.5,858.5,56.0,3.48,6343961.512,0.00101,14.2,0.099
232.0,0.65,3000.0,40.0,-4.5,3031.6,35.4,35.4,35.4,35.4,858.5,858.5,858.5,858.5,55.8,3.5,6343794.914,0.00101,14.2,0.099
233.0,0.65,3000.0,40.0,-4.5,3031.5,35.2,35.2,35.2,35.2,858.5,858.5,858.5,858.5,55.6,3.52,6343642.454,0.00101,14.2,0.099
234.0,0.65,3000.0,40.0,-4.5,3031.4,35.1,35.1,35.1,35.1,858.5,858.5,858.5,858.5,55.5,3.54,6343502.933,0.00101,14.2,0.099
235.0,0.65,3000.0,40.0,-4.5,3031.4,34.9,34.9,34.9,34.9,858.5,858.5,858.5,858.5,55.3,3.57,6343375.253,0.00101,14.2,0.099
236.0,0.65,3000.0,40.0,-4.5,3031.3,34.8,34.8,34.8,34.8,858.5,858.5,858.5,858.5,55.1,3.59,6343258.407,0.00101,14.2,0.099
237.0,0.65,3000.0,40.0,-4.5,3031.3,34.6,34.6,34.6,34.6,858.5,858.5,858.5,858.5,55.0,3.61,6343151.476,0.00101,14.2,0.099
238.0,0.65,3000.0,40.0,-4.5,3031.2,34.5,34.5,34.5,34.5,858.5,858.5,858.5,858.5,54.8,3.63,6343053.618,0.00101,14.2,0.099
239.0,0.65,3000.0,40.0,-4.5,3031.2,34.4,34.4,34.4,34.4,858.5,858.5,858.5,858.5,54.6,3.65,6342964.064,0.00101,14.2,0.099
240.0,0.65,3000.0,40.0,-4.5,3031.1,34.2,34.2,34.2,34.2,858.5,858.5,858.5,858.5,54.5,3.67,6342882.109,0.00101,14.2,0.099
241.0,0.65,3000.0,40.0,-4.5,3031.1,34.1,34.1,34.1,34.1,858.5,858.5,858.5,858.5,54.3,3.69,6342807.107,0.00101,14.2,0.099
242.0,0.65,3000.0,40.0,-4.5,3031.1,34.0,34.0,34.0,34.0,858.5,858.5,858.5,858.5,54.2,3.71,6342738.47,0.00101,14.2,0.099
243.0,0.65,3000.0,40.0,-4.5,3031.0,33.9,33.9,33.9,33.9,858.5,858.5,858.5,858.5,54.0,3.74,6342675.655,0.00101,14.2,0.099
244.0,0.65,3000.0,40.0,-4.5,3031.0,33.8,33.8,33.8,33.8,858.5,858.5,858.5,858.5,53.9,3.76,6342618.17,0.00101,14.2,0.099
245.0,0.65,3000.0,40.0,-4.5,3031.0,33.7,33.7,33.7,33.7,858.5,858.5,858.5,858.5,53.7,3.78,6342565.562,0.00101,14.2,0.099
246.0,0.65,3000.0,40.0,-4.5,3031.0,33.6,33.6,33.6,33.6,858.5,858.5,858.5,858.5,53.6,3.8,6342517.418,0.00101,14.2,0.099
247.0,0.65,3000.0,40.0,-4.5,3030.9,33.5,33.5,33.5,33.5,858.5,858.5,858.5,858.5,53.4,3.82,6342473.358,0.00101,14.2,0.099
248.0,0.65,3000.0,40.0,-4.5,3030.9,33.4,33.4,33.4,33.4,858.5,858.5,858.5,858.5,53.3,3.84,6342433.036,0.00101,14.2,0.099
249.0,0.65,3000.0,40.0,-4.5,3030.9,33.3,33.3,33.3,33.3,858.5,858.5,858.5,858.5,53.1,3.86,6342396.135,0.00101,14.2,0.099
250.0,0.65,3000.0,40.0,-4.5,3030.9,33.2,33.2,33.2,33.2,858.5,858.5,858.5,858.5,53.0,3.88,6342362.364,0.00101,14.2,0.099
251.0,0.65,3000.0,40.0,-4.5,3030.9,33.1,33.1,33.1,33.1,858.5,858.5,858.5,858.5,52.8,3.9,6342331.459,0.00101,14.2,0.099
252.0,0.65,3000.0,40.0,-4.5,3030.9,33.0,33.0,33.0,33.0,858.5,858.5,858.5,858.5,52.7,3.92,6342303.175,0.00101,14.2,0.099
253.0,0.65,3000.0,40.0,-4.5,3030.9,32.9,32.9,32.9,32.9,858.5,858.5,858.5,858.5,52.6,3.94,6342277.291,0.00101,14.2,0.099
254.0,0.65,3000.0,40.0,-4.5,3030.8,32.8,32.8,32.8,32.8,858.5,858.5,858.5,858.5,52.4,3.96,6342253.603,0.00101,14.2,0.099
255.0,0.65,3000.0,40.0,-4.5,3030.8,32.8,32.8,32.8,32.8,858.5,858.5,858.5,858.5,52.3,3.98,6342231.924,0.00101,14.2,0.099
256.0,0.65,3000.0,40.0,-4.5,3030.8,32.7,32.7,32.7,32.7,858.5,858.5,858.5,858.5,52.2,4.0,6342212.084,0.00101,14.2,0.099
257.0,0.65,3000.0,40.0,-4.5,3030.8,32.6,32.6,32.6,32.6,858.5,858.5,858.5,858.5,52.0,4.02,6342193.928,0.00101,14.2,0.099
258.0,0.65,3000.0,40.0,-4.5,3030.8,32.6,32.6,32.6,32.6,858.5,858.5,858.5,858.5,51.9,4.04,6342177.311,0.00101,14.2,0.099
259.0,0.65,3000.0,40.0,-4.5,3030.8,32.5,32.5,32.5,32.5,858.5,858.5,858.5,858.5,51.8,4.06,6342162.105,0.00101,14.2,0.099
260.0,0.65,3000.0,40.0,-4.5,3030.8,32.4,32.4,32.4,32.4,858.5,858.5,858.5,858.5,51.6,4.08,6342148.188,0.00101,14.2,0.099
261.0,0.65,3000.0,40.0,-4.5,3030.8,32.4,32.4,32.4,32.4,858.5,858.5,858.5,858.5,51.5,4.1,6342135.452,0.00101,14.2,0.099
262.0,0.65,3000.0,40.0,-4.5,3030.8,32.3,32.3,32.3,32.3,858.5,858.5,858.5,858.5,51.4,4.12,6342123.796,0.00101,14.2,0.099
263.0,0.65,3000.0,40.0,-4.5,3030.8,32.3,32.3,32.3,32.3,858.5,858.5,858.5,858.5,51.3,4.14,6342113.129,0.00101,14.2,0.099
264.0,0.65,3000.0,40.0,-4.5,3030.8,32.2,32.2,32.2,32.2,858.5,858.5,858.5,858.5,51.1,4.16,6342103.367,0.00101,14.2,0.099
265.0,0.65,3000.0,40.0,-4.5,3030.8,32.1,32.1,32.1,32.1,858.5,858.5,858.5,858.5,51.0,4.18,6342094.433,0.00101,14.2,0.099
266.0,0.65,3000.0,40.0,-4.5,3030.8,32.1,32.1,32.1,32.1,858.5,858.5,858.5,858.5,50.9,4.2,6342086.257,0.00101,14.2,0.099
267.0,0.65,3000.0,40.0,-4.5,3030.8,32.0,32.0,32.0,32.0,858.5,858.5,858.5,858.5,50.8,4.22,6342078.775,0.00101,14.2,0.099
268.0,0.65,3000.0,40.0,-4.5,3030.8,32.0,32.0,32.0,32.0,858.5,858.5,858.5,858.5,50.7,4.24,6342071.927,0.00101,14.2,0.099
269.0,0.65,3000.0,40.0,-4.5,3030.8,32.0,32.0,32.0,32.0,858.5,858.5,858.5,858.5,50.5,4.26,6342065.66,0.00101,14.2,0.099
270.0,0.65,3000.0,40.0,-4.5,3030.8,31.9,31.9,31.9,31.9,858.5,858.5,858.5,858.5,50.4,4.28,6342059.925,0.00101,14.2,0.099
271.0,0.65,3000.0,40.0,-4.5,3030.7,31.9,31.9,31.9,31.9,858.5,858.5,858.5,858.5,50.3,4.3,6342054.676,0.00101,14.2,0.099
272.0,0.65,3000.0,40.0,-4.5,3030.7,31.8,31.8,31.8,31.8,858.5,858.5,858.5,858.5,50.2,4.32,6342049.873,0.00101,14.2,0.099
273.0,0.65,3000.0,40.0,-4.5,3030.7,31.8,31.8,31.8,31.8,858.5,858.5,858.5,858.5,50.1,4.33,6342045.477,0.00101,14.2,0.099
274.0,0.65,3000.0,40.0,-4.5,3030.7,31.7,31.7,31.7,31.7,858.5,858.5,858.5,858.5,50.0,4.35,6342041.454,0.00101,14.2,0.099
275.0,0.65,3000.0,40.0,-4.5,3030.7,31.7,31.7,31.7,31.7,858.5,858.5,858.5,858.5,49.9,4.37,6342037.772,0.00101,14.2,0.099
276.0,0.65,3000.0,40.0,-4.5,3030.7,31.7,31.7,31.7,31.7,858.5,858.5,858.5,858.5,49.8,4.39,6342034.402,0.00101,14.2,0.099
277.0,0.65,3000.0,40.0,-4.5,3030.7,31.6,31.6,31.6,31.6,858.5,858.5,858.5,858.5,49.7,4.41,6342031.319,0.00101,14.2,0.099
278.0,0.65,3000.0,40.0,-4.5,3030.7,31.6,31.6,31.6,31.6,858.5,858.5,858.5,858.5,49.6,4.43,6342028.497,0.00101,14.2,0.099
279.0,0.65,3000.0,40.0,-4.5,3030.7,31.6,31.6,31.6,31.6,858.5,858.5,858.5,858.5,49.4,4.44,6342025.914,0.00101,14.2,0.099
280.0,0.65,3000.0,40.0,-4.5,3030.7,31.5,31.5,31.5,31.5,858.5,858.5,858.5,858.5,49.3,4.46,6342023.55,0.00101,14.2,0.099
281.0,0.65,3000.0,40.0,-4.5,3030.7,31.5,31.5,31.5,31.5,858.5,858.5,858.5,858.5,49.2,4.48,6342021.387,0.00101,14.2,0.099
282.0,0.65,3000.0,40.0,-4.5,3030.7,31.5,31.5,31.5,31.5,858.5,858.5,858.5,858.5,49.1,4.5,6342019.408,0.00101,14.2,0.099
283.0,0.65,3000.0,40.0,-4.5,3030.7,31.5,31.5,31.5,31.5,858.5,858.5,858.5,858.5,49.0,4.52,6342017.596,0.00101,14.2,0.099
284.0,0.65,3000.0,40.0,-4.5,3030.7,31.4,31.4,31.4,31.4,858.5,858.5,858.5,858.5,48.9,4.53,6342015.938,0.00101,14.2,0.099
285.0,0.65,3000.0,40.0,-4.5,3030.7,31.4,31.4,31.4,31.4,858.5,858.5,858.5,858.5,48.8,4.55,6342014.421,0.00101,14.2,0.099
286.0,0.65,3000.0,40.0,-4.5,3030.7,31.4,31.4,31.4,31.4,858.5,858.5,858.5,858.5,48.7,4.57,6342013.032,0.00101,14.2,0.099
287.0,0.65,3000.0,40.0,-4.5,3030.7,31.3,31.3,31.3,31.3,858.5,858.5,858.5,858.5,48.7,4.59,6342011.761,0.00101,14.2,0.099
288.0,0.65,3000.0,40.0,-4.5,3030.7,31.3,31.3,31.3,31.3,858.5,858.5,858.5,858.5,48.6,4.6,6342010.598,0.00101,14.2,0.099
289.0,0.65,3000.0,40.0,-4.5,3030.7,31.3,31.3,31.3,31.3,858.5,858.5,858.5,858.5,48.5,4.62,6342009.534,0.00101,14.2,0.099
290.0,0.65,3000.0,40.0,-4.5,3030.7,31.3,31.3,31.3,31.3,858.5,858.5,858.5,858.5,48.4,4.64,6342008.56,0.00101,14.2,0.099
291.0,0.65,3000.0,40.0,-4.5,3030.7,31.3,31.3,31.3,31.3,858.5,858.5,858.5,858.5,48.3,4.66,6342007.668,0.00101,14.2,0.099
292.0,0.65,3000.0,40.0,-4.5,3030.7,31.2,31.2,31.2,31.2,858.5,858.5,858.5,858.5,48.2,4.67,6342006.853,0.00101,14.2,0.099
293.0,0.65,3000.0,40.0,-4.5,3030.7,31.2,31.2,31.2,31.2,858.5,858.5,858.5,858.5,48.1,4.69,6342006.106,0.00101,14.2,0.099
294.0,0.65,3000.0,40.0,-4.5,3030.7,31.2,31.2,31.2,31.2,858.5,858.5,858.5,858.5,48.0,4.71,6342005.423,0.00101,14.2,0.099
295.0,0.65,3000.0,40.0,-4.5,3030.7,31.2,31.2,31.2,31.2,858.5,858.5,858.5,858.5,47.9,4.72,6342004.797,0.00101,14.2,0.099
296.0,0.65,3000.0,40.0,-4.5,3030.7,31.2,31.2,31.2,31.2,858.5,858.5,858.5,858.5,47.8,4.74,6342004.225,0.00101,14.2,0.099
297.0,0.65,3000.0,40.0,-4.5,3030.7,31.1,31.1,31.1,31.1,858.5,858.5,858.5,858.5,47.7,4.76,6342003.701,0.00101,14.2,0.099
298.0,0.65,3000.0,40.0,-4.5,3030.7,31.1,31.1,31.1,31.1,858.5,858.5,858.5,858.5,47.7,4.77,6342003.222,0.00101,14.2,0.099
299.0,0.65,3000.0,40.0,-4.5,3030.7,31.1,31.1,31.1,31.1,858.5,858.5,858.5,858.5,47.6,4.79,6342002.783,0.00101,14.2,0.099
300.0,0.65,3000.0,40.0,-4.5,3030.7,31.1,31.1,31.1,31.1,858.5,858.5,858.5,858.5,47.5,4.8,6342036.798,0.00101,14.2,0.099
301.0,0.65,3000.0,40.0,-4.5,3030.4,31.1,31.1,31.1,31.1,858.5,850.4,858.5,858.5,47.4,4.82,6341363.67,0.00101,14.2,0.103
302.0,0.65,3000.0,40.0,-4.5,3029.5,31.1,31.0,31.1,31.1,858.5,842.4,858.5,858.5,47.3,4.83,6339395.653,0.00101,14.2,0.107
303.0,0.65,3000.0,40.0,-4.5,3028.5,31.1,31.0,31.1,31.1,858.5,834.3,858.5,858.5,47.2,4.85,6337436.49,0.00101,14.2,0.112
304.0,0.65,3000.0,40.0,-4.5,3027.2,31.0,31.0,31.0,31.0,858.5,826.2,858.5,858.5,47.2,4.86,6334700.035,0.00101,14.2,0.118
305.0,0.65,3000.0,40.0,-4.5,3025.2,31.0,30.9,31.0,31.0,858.5,818.2,858.5,858.5,47.1,4.88,6330418.127,0.00101,14.2,0.124
306.0,0.65,3000.0,40.0,-4.5,3021.7,31.0,30.8,31.0,31.0,858.5,810.1,858.5,858.5,47.0,4.89,6323095.064,0.00101,14.2,0.131
307.0,0.65,3000.0,40.0,-4.5,3016.7,31.0,30.7,31.0,31.0,858.5,802.1,858.5,858.5,46.9,4.89,6312583.926,0.001,14.2,0.138
308.0,0.65,3000.0,40.0,-4.5,3013.8,31.0,30.6,31.0,31.0,858.5,794.0,858.5,858.5,46.8,4.9,6306601.027,0.001,14.2,0.146
309.0,0.65,3000.0,40.0,-4.5,3011.8,31.0,30.5,31.0,31.0,858.5,786.0,858.5,858.5,46.8,4.92,6302400.72,0.001,14.2,0.154
310.0,0.65,3000.0,40.0,-4.5,3009.4,30.9,30.4,30.9,30.9,858.5,777.9,858.5,858.5,46.7,4.93,6297293.184,0.001,14.2,0.162
311.0,0.65,3000.0,40.0,-4.5,3006.6,30.9,30.3,30.9,30.9,858.5,769.9,858.5,858.5,46.6,4.94,6291588.486,0.001,14.2,0.171
312.0,0.65,3000.0,40.0,-4.5,3000.2,30.9,30.2,30.9,30.9,858.5,761.8,858.5,858.5,46.5,4.95,6278068.956,0.00099,14.2,0.179
313.0,0.65,3000.0,40.0,-4.5,2996.0,30.9,30.0,30.9,30.9,858.5,753.8,858.5,858.5,46.4,4.96,6269396.641,0.00099,14.2,0.188
314.0,0.65,3000.0,40.0,-4.5,2988.6,30.8,29.9,30.8,30.8,858.5,745.7,858.5,858.5,46.4,4.96,6253869.362,0.00099,14.2,0.197
315.0,0.65,3000.0,40.0,-4.5,2978.4,30.8,29.7,30.8,30.8,858.5,737.7,858.5,858.5,46.3,4.96,6232610.306,0.00099,14.2,0.206
316.0,0.65,3000.0,40.0,-4.5,2971.9,30.8,29.6,30.8,30.8,858.5,729.6,858.5,858.5,46.2,4.97,6219000.33,0.00098,14.2,0.215
317.0,0.65,3000.0,40.0,-4.5,2965.5,30.8,29.4,30.8,30.8,858.5,721.5,858.5,858.5,46.1,4.97,6205613.785,0.00098,14.2,0.224
318.0,0.65,3000.0,40.0,-4.5,2968.0,30.7,29.2,30.7,30.7,858.5,713.5,858.5,858.5,46.0,5.0,6210734.188,0.00098,14.2,0.234
319.0,0.65,3000.0,40.0,-4.5,2967.7,30.7,29.0,30.7,30.7,858.5,705.4,858.5,858.5,45.9,5.01,6210143.548,0.00098,14.2,0.243
320.0,0.65,3000.0,40.0,-4.5,2967.4,30.7,28.8,30.7,30.7,858.5,697.4,858.5,858.5,45.9,5.03,6209591.539,0.00098,14.2,0.252
321.0,0.65,3000.0,40.0,-4.5,2960.6,30.6,28.7,30.6,30.6,858.5,689.3,858.5,858.5,45.8,5.03,6195201.219,0.00098,14.2,0.262
